City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Kaunas,Centras,A. Mickevičiaus g.,"29,77m2",1,3,2022,Monolithic,Central thermostat,Partial,A+,102500
Kaunas,Centras,A. Mickevičiaus g.,"45,26m2",2,3,2022,Monolithic,Central thermostat,Fully,A+,161300
Kaunas,Centras,A. Mickevičiaus g.,"38,6m2",2,1,2022,Brick,Gas,Fully,A+,225000
Vilnius,Pašilaičiai,Virbeliškių g.,"68,33m2",4,5,2015,Brick,Central thermostat,Fully,nan,225000
Kaunas,Dainava,Taikos pr.,"77,98m2",4,1,1970,Block house,Central,Fully,nan,99000
Kaunas,Dainava,Taikos pr.,"35,77m2",2,1,2022,Brick,Gas,Fully,A+,179000
Kaunas,Dainava,Taikos pr.,47m2,2,1,2022,Monolithic,Central thermostat,Fully,A+,157600
Kaunas,Dainava,Taikos pr.,47m2,2,1,2022,Monolithic,Central thermostat,Partial,A+,141500
Vilnius,Pilaitė,Karaliaučiaus g.,"56,18m2",3,2,2023,Brick,Central thermostat,Partial,A++,135000
Kaunas,Centras,Vytauto pr.,56m2,3,4,2023,Brick,Central thermostat,Partial,nan,184000
Kaunas,Centras,Vytauto pr.,56m2,3,3,2023,Brick,Central thermostat,Partial,nan,176000
Kaunas,Centras,Vytauto pr.,94m2,4,5,2023,Brick,Central thermostat,Partial,nan,377000
Vilnius,Šnipiškės,Šatrijos g.,"38,51m2",2,4,2022,Brick,Central thermostat,Partial,nan,140600
Vilnius,Pašilaičiai,Pavilnionių g.,"71,76m2",3,2,2023,Brick,Central thermostat,Partial,nan,167200
Vilnius,Pašilaičiai,Pavilnionių g.,"47,24m2",1,1,1992,Brick,Central thermostat,Fully,nan,106000
Vilnius,Pašilaičiai,Pavilnionių g.,"42,94m2",2,3,2022,Monolithic,Central thermostat,Partial,A+,149000
Vilnius,Naujamiestis,Vytenio g.,"97,94m2",4,5,2023,Brick,Central thermostat,Partial,A+,398000
Vilnius,Žirmūnai,Žirmūnų g.,"48,85m2",3,2,1968,Block house,Central,Fully,nan,129900
Vilnius,Bajorai,Bajorų kel.,"21,64m2",1,3,2023,Brick,Central thermostat,Partial,nan,71200
Vilnius,Žirmūnai,Tuskulėnų g.,"46,16m2",3,4,2022,Brick,Central thermostat,Partial,nan,205600
Klaipėda,Melnragė,Otų g.,96m2,3,3,2001,Brick,Gas,Fully,nan,499000
Klaipėda,Mažasis kaimelis,Senvagės g.,"45,99m2",2,2,2022,Monolithic,Central,Partial,A++,121900
Vilnius,Naujamiestis,Algirdo g.,"32,3m2",1,2,2023,Brick,Central thermostat,Partial,nan,135600
Vilnius,Naujamiestis,Algirdo g.,"85,33m2",3,2,2023,Brick,Central thermostat,Partial,nan,315700
Vilnius,Senamiestis,Polocko g.,"63,52m2",2,4,2021,Brick,Central thermostat,Partial,A,317600
Vilnius,Baltupiai,Didlaukio g.,"71,35m2",3,2,2022,Brick,Central thermostat,Partial,nan,177600
Kaunas,Žaliakalnis,Žeimenos g.,"55,97m2",2,3,2022,Brick,Central thermostat,Partial,A+,143000
Kaunas,Žaliakalnis,Žeimenos g.,"60,34m2",2,2,2022,Monolithic,Central thermostat,Partial,A+,197000
Kaunas,Dainava,V. Krėvės pr.,43m2,2,3,2022,Block house,Central thermostat,Partial,A++,94600
Kaunas,Šilainiai,Žaibo g.,42m2,2,1,2022,Monolithic,Central thermostat,Fully,A+,80000
Kaunas,Romainiai,Girios g.,"41,89m2",2,5,2023,Brick,Central thermostat,Partial,nan,86713
Klaipėda,Varpai,Smiltelės g.,44m2,1,5,1992,Block house,Central,Fully,nan,52000
Vilnius,Žirmūnai,Tuskulėnų g.,"40,29m2",2,2,2022,Brick,Central thermostat,Fully,A+,171200
Vilnius,Žirmūnai,Tuskulėnų g.,57m2,2,1,2022,Monolithic,Central thermostat,Fully,A+,208800
Vilnius,Žirmūnai,Tuskulėnų g.,"47,38m2",2,1,2022,Monolithic,Central thermostat,Fully,A+,157600
Palanga,Šventoji,Elijos g.,"63,5m2",3,1,2022,Carcass house,"Electric, sun energy",Partial,nan,155000
Palanga,Šventoji,Elijos g.,48m2,3,1,2021,Brick,Aerothermal,Fully,A++,145000
Kaunas,Centras,A. Mickevičiaus g.,"44,67m2",2,5,1961,Brick,Central,Fully,nan,129000
Kaunas,Centras,A. Mickevičiaus g.,40m2,2,0,2022,Brick,Aerothermal,Fully,nan,130000
Kaunas,Centras,Vytauto pr.,106m2,4,2,2023,Brick,Central thermostat,Partial,nan,315000
Vilnius,Lazdynėliai,Lietaus g.,"32,99m2",1,2,2023,Brick,Central thermostat,Partial,A+,102300
Vilnius,Lazdynėliai,Lietaus g.,"30,65m2",1,2,2023,Brick,Central thermostat,Partial,nan,88000
Vilnius,Užupis,Polocko g.,"78,6m2",3,4,2022,Brick,Central thermostat,Partial,nan,355500
Klaipėda,Centras,Žiedų skg.,133m2,4,2,2019,Brick,Central,Partial,A+,305900
Vilnius,Šnipiškės,Oršos g.,42m2,2,3,2016,Brick,Central thermostat,Fully,A+,169000
Vilnius,Naujamiestis,Vytenio g.,"39,21m2",2,5,2023,Brick,Central thermostat,Partial,nan,184400
Vilnius,Naujamiestis,Vytenio g.,"45,38m2",2,2,2023,Brick,Central thermostat,Partial,nan,195200
Vilnius,Naujamiestis,Vytenio g.,"35,63m2",2,5,2008,Brick,Central thermostat,Fully,nan,125000
Vilnius,Pašilaičiai,Eitminų g.,50m2,2,9,2012,Brick,Central thermostat,Fully,nan,155000
Vilnius,Pašilaičiai,Eitminų g.,"40,44m2",2,4,2022,Monolithic,Central thermostat,Partial,A+,136500
Vilnius,Pašilaičiai,Eitminų g.,"67,5m2",3,3,2022,Monolithic,Central thermostat,Partial,A+,223500
Vilnius,Pašilaičiai,Eitminų g.,"36,91m2",2,4,2022,Brick,Central thermostat,Partial,A,83048
Vilnius,Pašilaičiai,Eitminų g.,33m2,2,2,2022,Monolithic,Central thermostat,Partial,A+,105000
Vilnius,Visoriai,Visorių g.,"49,32m2",2,2,2023,Brick,Central thermostat,Partial,A++,135679
Kaunas,Vilijampolė,Brastos g.,"153,78m2",4,5,2022,Brick,Central thermostat,Partial,A+,649000
Kaunas,Vilijampolė,Brastos g.,"28,29m2",2,2,2022,Brick,Electric,Partial,A++,73500
Palanga,Šventoji,Elijos g.,"63,5m2",3,1,2022,Carcass house,"Electric, sun energy",Fully,nan,182000
Vilnius,Žirmūnai,Apkasų g.,27m2,1,1,1964,Block house,Central,Fully,nan,74900
Klaipėda,Senamiestis,Tiltų g.,"55,96m2",2,4,1960,Brick,Central,Fully,nan,128000
Vilnius,Karoliniškės,Laisvės pr.,"50,24m2",2,5,1975,Block house,Central,Fully,nan,120000
Kaunas,Freda,Europos pr.,"75,78m2",3,1,2022,Block house,Central thermostat,Partial,nan,194053
Vilnius,Lazdynėliai,Žaibo g.,44m2,2,2,2022,Brick,Central thermostat,Fully,nan,160000
Vilnius,Bajorai,Bajorų kel.,"36,84m2",2,2,2023,Brick,Central thermostat,Partial,nan,113100
Vilnius,Žirmūnai,Tuskulėnų g.,"39,6m2",2,2,2022,Brick,Central thermostat,Fully,nan,166900
Vilnius,Žirmūnai,Tuskulėnų g.,"38,18m2",1,2,2022,Brick,"Electric, aerothermal",Partial,nan,87814
Vilnius,Žirmūnai,Tuskulėnų g.,"31,5m2",2,2,2022,Brick,"Electric, aerothermal",Partial,nan,87350
Vilnius,Žvėrynas,Paribio g.,"64,2m2",3,3,1970,Brick,Central,Fully,nan,205000
Vilnius,Žvėrynas,Paribio g.,"41,5m2",2,3,2015,Brick,Gas,Fully,nan,129477
Vilnius,Žvėrynas,Saltoniškių g.,"205,69m2",4,10,2008,Brick,Central thermostat,Fully,nan,700000
Vilnius,Šnipiškės,Kernavės g.,"35,7m2",2,2,2021,Brick,Central thermostat,Fully,A+,189000
Vilnius,Pašilaičiai,Laisvės pr.,72m2,2,3,1997,Brick,Other,Fully,nan,149900
Kauno r. sav.,Jonučių II k.,Versmės g.,"47,76m2",2,4,2022,Brick,Gas,Partial,A+,78804
Vilnius,Senamiestis,Šaltinių g.,"75,57m2",3,5,2016,Brick,Central thermostat,Fully,nan,399000
Klaipėdos r. sav.,Gargždų m.,Vingio g.,77m2,3,2,1984,Brick,"Aerothermal, gas, solid fuel, other",Fully,nan,57000
Kauno r. sav.,Jonučių II k.,Versmės g.,"71,62m2",3,2,2017,Brick,"Aerothermal, gas",Fully,A+,155000
Vilnius,Pašilaičiai,Girulių g.,"62,74m2",3,8,2008,Brick,Central thermostat,Fully,nan,154000
Vilnius,Antakalnis,Kalno g.,50m2,2,1,2017,Block house,Central thermostat,Fully,nan,158500
Vilnius,Antakalnis,Kalno g.,40m2,2,0,2022,Brick,Aerothermal,Partial,nan,104000
Vilnius,Antakalnis,Kalno g.,"55,43m2",3,1,2023,Brick,"Electric, central thermostat, aerothermal",Partial,A++,149000
Vilnius,Bajorai,Šaulio g.,"50,08m2",3,2,1958,Brick,Gas,Fully,nan,115000
Vilnius,Naujamiestis,S. Konarskio g.,"71,35m2",3,4,1987,Block house,Central,Fully,A,189000
Klaipėda,Centras,H. Manto g.,"95,14m2",3,4,1928,Brick,Gas,Fully,nan,265000
Vilnius,Fabijoniškės,Salomėjos Nėries g.,"50,23m2",2,3,1990,Block house,Central,Fully,nan,119000
Klaipėda,Laukininkai,Laukininkų g.,"55,49m2",2,2,1983,Block house,Central,Fully,nan,59900
Klaipėda,Laukininkai,Laukininkų g.,48m2,2,3,2009,Monolithic,Central thermostat,Fully,nan,152998
Klaipėda,Senamiestis,Grįžgatvio g.,"78,59m2",4,2,1960,Brick,Central thermostat,Fully,nan,175000
Vilnius,Pilaitė,Tolminkiemio g.,"73,41m2",3,4,2019,Brick,Central thermostat,Fully,A+,215000
Klaipėda,Alksnynė,Alksnynės g.,"51,79m2",2,4,1978,Brick,Central,Fully,nan,68000
Klaipėda,Šauliai,Arimų g.,"26,71m2",1,2,2023,Brick,Gas,Partial,nan,52000
Vilnius,Naujamiestis,Kauno g.,67m2,3,1,1940,Wooden house,Gas,Fully,nan,149000
Vilnius,Naujamiestis,Kauno g.,"22,77m2",1,1,2020,Brick,Electric,Fully,nan,128000
Vilnius,Naujamiestis,Kauno g.,"31,84m2",2,1,2022,Brick,Electric,Other,nan,119900
Vilnius,Naujamiestis,Kauno g.,"32,05m2",2,1,2022,Brick,Electric,Fully,nan,105000
Kaunas,Šilainiai,V. Bičiūno g.,70m2,3,2,2022,Brick,Aerothermal,Fully,A++,140000
Kaunas,Šilainiai,Žaibo g.,74m2,3,5,2022,Monolithic,Central thermostat,Partial,A+,122000
Vilnius,Naujamiestis,Algirdo g.,"66,82m2",3,1,2021,Brick,Central thermostat,Partial,A+,181755
Vilnius,Justiniškės,Rygos g.,"50,1m2",2,6,1988,Monolithic,Central,Fully,nan,107000
Vilnius,Pašilaičiai,Laisvės pr.,"108,25m2",4,5,1998,Brick,Other,Fully,nan,172000
Vilnius,Pašilaičiai,Laisvės pr.,75m2,3,3,2008,Brick,Gas,Fully,nan,185000
Palanga,Šventoji,Jūros g.,68m2,2,2,2006,Brick,Electric,Fully,nan,179000
Klaipėda,Giruliai,Turistų g.,38m2,2,2,2016,Brick,"Electric, gas",Fully,nan,86200
Klaipėda,Mažasis kaimelis,Senvagės g.,"73,51m2",3,3,2023,Monolithic,Central,Partial,A++,194900
Klaipėda,Sportininkai,Viršutinė g.,98m2,4,3,1980,Brick,Gas,Fully,nan,160000
Palanga,Palanga,Vytauto g.,"46,88m2",2,4,2007,Monolithic,"Central, central thermostat",Fully,nan,135000
Plungės r. sav.,Noriškių k.,Saulėgrąžų g.,"64,09m2",2,1,2022,Block house,Other,Partial,nan,92930
Plungės r. sav.,Noriškių k.,Saulėgrąžų g.,21m2,2,2,2021,Brick,"Electric, aerothermal, other",Fully,nan,29400
Kaunas,Petrašiūnai,Nemajūnų g.,100m2,3,1,2017,Brick,"Electric, aerothermal",Fully,A+,189000
Palanga,Šventoji,Gulbių g.,90m2,4,1,2008,Block house,Gas,Fully,B,245000
Kaunas,Panemunė,Kampiškių g.,"43,45m2",2,1,2022,Brick,Aerothermal,Partial,A++,97500
Kaunas,Panemunė,Kampiškių g.,"76,63m2",3,2,2022,Brick,Central thermostat,Partial,A+,108850
Kaunas,Panemunė,Kampiškių g.,"35,6m2",2,3,1982,Brick,Central thermostat,Partial,nan,106800
Kaunas,Panemunė,Kampiškių g.,"19,6m2",1,2,1982,Brick,Central thermostat,Partial,nan,56840
Klaipėda,Mažasis kaimelis,Senvagės g.,"55,93m2",2,2,2023,Monolithic,Central,Partial,A++,148900
Kaunas,Vilijampolė,Brastos g.,69m2,3,2,2019,Brick,Central thermostat,Fully,nan,242000
Vilnius,Markučiai,Manufaktūrų g.,64m2,2,2,2020,Brick,"Central, central thermostat",Fully,A+,349500
Kaunas,Vilijampolė,Varnių g.,"98,62m2",2,6,2017,Monolithic,Central thermostat,Fully,nan,299000
Kaunas,Vilijampolė,Varnių g.,25m2,2,1,2009,Brick,Gas,Fully,nan,40000
Kaunas,Vilijampolė,Varnių g.,"21,54m2",1,2,2022,Brick,"Electric, aerothermal",Partial,A,52000
Palanga,Šventoji,Mėguvos g.,"55,75m2",2,3,2022,Brick,"Electric, aerothermal",Partial,nan,76000
Vilnius,Senamiestis,Gedimino pr.,250m2,7,3,1919,Brick,Central thermostat,Partial,B,1450000
Palanga,Šventoji,Mėguvos g.,18m2,2,2,1998,Brick,"Electric, aerothermal, other",Fully,nan,26964
Vilnius,Senamiestis,Rūdninkų g.,106m2,4,2,1940,Brick,Central,Fully,nan,795000
Klaipėda,Giruliai,Turistų g.,"98,12m2",3,1,2015,Carcass house,"Gas, other",Fully,nan,183500
Vilnius,Senamiestis,Subačiaus g.,"50,79m2",2,4,1969,Brick,Central,Fully,nan,175000
Klaipėda,Giruliai,Turistų g.,45m2,1,1,2018,Carcass house,"Gas, other",Partial,nan,85720
Vilnius,Žirmūnai,Žirmūnų g.,"44,05m2",2,5,1965,Block house,Central,Fully,nan,115500
Vilnius,Žirmūnai,Žirmūnų g.,"38,66m2",2,2,2015,Brick,Electric,Fully,nan,259000
Klaipėdos r. sav.,Gargždų m.,Dariaus ir Girėno g.,"87,5m2",3,5,1999,Block house,Central,Fully,nan,81500
Vilnius,Žirmūnai,Trinapolio g.,44m2,2,11,2005,Monolithic,Central thermostat,Fully,nan,148000
Vilnius,Žirmūnai,Trinapolio g.,"37,45m2",2,2,2022,Brick,Central thermostat,Fully,B,149800
