City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price,Price per sqm
Kaunas,Centras,Vytauto pr.,60.1,2,2,1931,Brick,Central,Fully,139000,2312.811980033278
Vilnius,Senamiestis,J. Basanavičiaus g.,84.18,2,1,2022,Brick,Central thermostat,Partial,505080,5999.999999999999
Kaunas,Vilijampolė,Bajorų g.,54.5,3,2,1962,Brick,Central,Fully,75000,1376.1467889908256
Kaunas,Vilijampolė,Bajorų g.,44.0,2,4,2018,Brick,Electric,Fully,172000,3909.090909090909
Kaunas,Eiguliai,S. Žukausko g.,50.8,2,7,1979,Block house,Central,Fully,85000,1673.228346456693
Vilnius,Jeruzalė,Mokyklos g.,112.0,4,3,2002,Brick,Gas,Fully,249900,2231.25
Vilnius,Šiaurės miestelis,Žygio g.,39.45,1,1,2007,Brick,Central thermostat,Fully,135000,3422.053231939163
Vilnius,Antakalnis,Švyturio g.,58.32,3,3,1962,Block house,Central,Fully,125000,2143.347050754458
Vilnius,Vilkpėdė,Vilkpėdės g.,40.97,2,2,2006,Brick,Central thermostat,Fully,148000,3612.399316573102
Vilnius,Naujininkai,Dzūkų g.,64.98,3,2,1955,Brick,Gas,Fully,110000,1692.8285626346567
Vilnius,Naujamiestis,Vilkpėdės g.,40.97,2,2,2006,Brick,Central thermostat,Fully,148000,3612.399316573102
Kaunas,Dainava,Partizanų g.,43.98,2,1,1971,Block house,Central,Fully,62500,1421.1005002273762
Kaunas,Dainava,Partizanų g.,26.31,1,2,2023,Brick,Aerothermal,Fully,69950,2658.6849106803497
Vilnius,Pilaitė,Vydūno g.,36.0,1,6,1992,Block house,Central,Fully,79900,2219.4444444444443
Vilnius,Žvėrynas,Stirnų g.,55.69,3,3,2018,Brick,Central,Fully,260000,4668.701741784881
Kaunas,Eiguliai,Ukmergės g.,72.29,3,6,1993,Monolithic,Central,Fully,109500,1514.7323281228385
