City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price
Kaunas,Centras,A. Mickevičiaus g.,38.6,2,1,2022,Brick,Gas,Fully,225000
Vilnius,Pašilaičiai,Virbeliškių g.,68.33,4,5,2015,Brick,Central thermostat,Fully,225000
Kaunas,Dainava,Taikos pr.,77.98,4,1,1970,Block house,Central,Fully,99000
Kaunas,Dainava,Taikos pr.,35.77,2,1,2022,Brick,Gas,Fully,179000
Kaunas,Dainava,Taikos pr.,47.0,2,1,2022,Monolithic,Central thermostat,Fully,157600
Kaunas,Dainava,Taikos pr.,47.0,2,1,2022,Monolithic,Central thermostat,Partial,141500
Vilnius,Pilaitė,Karaliaučiaus g.,56.18,3,2,2023,Brick,Central thermostat,Partial,135000
Kaunas,Centras,Vytauto pr.,56.0,3,4,2023,Brick,Central thermostat,Partial,184000
Kaunas,Centras,Vytauto pr.,56.0,3,3,2023,Brick,Central thermostat,Partial,176000
Kaunas,Centras,Vytauto pr.,94.0,4,5,2023,Brick,Central thermostat,Partial,377000
Vilnius,Šnipiškės,Šatrijos g.,38.51,2,4,2022,Brick,Central thermostat,Partial,140600
Vilnius,Pašilaičiai,Pavilnionių g.,71.76,3,2,2023,Brick,Central thermostat,Partial,167200
Vilnius,Pašilaičiai,Pavilnionių g.,47.24,1,1,1992,Brick,Central thermostat,Fully,106000
Vilnius,Pašilaičiai,Pavilnionių g.,42.94,2,3,2022,Monolithic,Central thermostat,Partial,149000
Vilnius,Naujamiestis,Vytenio g.,97.94,4,5,2023,Brick,Central thermostat,Partial,398000
Vilnius,Žirmūnai,Žirmūnų g.,48.85,3,2,1968,Block house,Central,Fully,129900
Vilnius,Bajorai,Bajorų kel.,21.64,1,3,2023,Brick,Central thermostat,Partial,71200
Vilnius,Žirmūnai,Tuskulėnų g.,46.16,3,4,2022,Brick,Central thermostat,Partial,205600
Klaipėda,Melnragė,Otų g.,96.0,3,3,2001,Brick,Gas,Fully,499000
Klaipėda,Mažasis kaimelis,Senvagės g.,45.99,2,2,2022,Monolithic,Central,Partial,121900
Vilnius,Naujamiestis,Algirdo g.,32.3,1,2,2023,Brick,Central thermostat,Partial,135600
Vilnius,Naujamiestis,Algirdo g.,85.33,3,2,2023,Brick,Central thermostat,Partial,315700
Vilnius,Senamiestis,Polocko g.,63.52,2,4,2021,Brick,Central thermostat,Partial,317600
Vilnius,Baltupiai,Didlaukio g.,71.35,3,2,2022,Brick,Central thermostat,Partial,177600
Kaunas,Žaliakalnis,Žeimenos g.,55.97,2,3,2022,Brick,Central thermostat,Partial,143000
Kaunas,Žaliakalnis,Žeimenos g.,60.34,2,2,2022,Monolithic,Central thermostat,Partial,197000
Kaunas,Dainava,V. Krėvės pr.,43.0,2,3,2022,Block house,Central thermostat,Partial,94600
Kaunas,Šilainiai,Žaibo g.,42.0,2,1,2022,Monolithic,Central thermostat,Fully,80000
Kaunas,Romainiai,Girios g.,41.89,2,5,2023,Brick,Central thermostat,Partial,86713
Klaipėda,Varpai,Smiltelės g.,44.0,1,5,1992,Block house,Central,Fully,52000
Vilnius,Žirmūnai,Tuskulėnų g.,40.29,2,2,2022,Brick,Central thermostat,Fully,171200
Vilnius,Žirmūnai,Tuskulėnų g.,57.0,2,1,2022,Monolithic,Central thermostat,Fully,208800
Vilnius,Žirmūnai,Tuskulėnų g.,47.38,2,1,2022,Monolithic,Central thermostat,Fully,157600
Palanga,Šventoji,Elijos g.,63.5,3,1,2022,Carcass house,"Electric, sun energy",Partial,155000
Palanga,Šventoji,Elijos g.,48.0,3,1,2021,Brick,Aerothermal,Fully,145000
Kaunas,Centras,A. Mickevičiaus g.,44.67,2,5,1961,Brick,Central,Fully,129000
Kaunas,Centras,A. Mickevičiaus g.,40.0,2,0,2022,Brick,Aerothermal,Fully,130000
Kaunas,Centras,Vytauto pr.,106.0,4,2,2023,Brick,Central thermostat,Partial,315000
Vilnius,Lazdynėliai,Lietaus g.,32.99,1,2,2023,Brick,Central thermostat,Partial,102300
Vilnius,Lazdynėliai,Lietaus g.,30.65,1,2,2023,Brick,Central thermostat,Partial,88000
Vilnius,Užupis,Polocko g.,78.6,3,4,2022,Brick,Central thermostat,Partial,355500
Klaipėda,Centras,Žiedų skg.,133.0,4,2,2019,Brick,Central,Partial,305900
Vilnius,Šnipiškės,Oršos g.,42.0,2,3,2016,Brick,Central thermostat,Fully,169000
Vilnius,Naujamiestis,Vytenio g.,39.21,2,5,2023,Brick,Central thermostat,Partial,184400
Vilnius,Naujamiestis,Vytenio g.,45.38,2,2,2023,Brick,Central thermostat,Partial,195200
Vilnius,Naujamiestis,Vytenio g.,35.63,2,5,2008,Brick,Central thermostat,Fully,125000
Vilnius,Pašilaičiai,Eitminų g.,50.0,2,9,2012,Brick,Central thermostat,Fully,155000
Vilnius,Pašilaičiai,Eitminų g.,40.44,2,4,2022,Monolithic,Central thermostat,Partial,136500
Vilnius,Pašilaičiai,Eitminų g.,67.5,3,3,2022,Monolithic,Central thermostat,Partial,223500
Vilnius,Pašilaičiai,Eitminų g.,36.91,2,4,2022,Brick,Central thermostat,Partial,83048
Vilnius,Pašilaičiai,Eitminų g.,33.0,2,2,2022,Monolithic,Central thermostat,Partial,105000
Vilnius,Visoriai,Visorių g.,49.32,2,2,2023,Brick,Central thermostat,Partial,135679
Kaunas,Vilijampolė,Brastos g.,153.78,4,5,2022,Brick,Central thermostat,Partial,649000
Kaunas,Vilijampolė,Brastos g.,28.29,2,2,2022,Brick,Electric,Partial,73500
Palanga,Šventoji,Elijos g.,63.5,3,1,2022,Carcass house,"Electric, sun energy",Fully,182000
Vilnius,Žirmūnai,Apkasų g.,27.0,1,1,1964,Block house,Central,Fully,74900
Klaipėda,Senamiestis,Tiltų g.,55.96,2,4,1960,Brick,Central,Fully,128000
Vilnius,Karoliniškės,Laisvės pr.,50.24,2,5,1975,Block house,Central,Fully,120000
Kaunas,Freda,Europos pr.,75.78,3,1,2022,Block house,Central thermostat,Partial,194053
Vilnius,Lazdynėliai,Žaibo g.,44.0,2,2,2022,Brick,Central thermostat,Fully,160000
Vilnius,Bajorai,Bajorų kel.,36.84,2,2,2023,Brick,Central thermostat,Partial,113100
Vilnius,Žirmūnai,Tuskulėnų g.,39.6,2,2,2022,Brick,Central thermostat,Fully,166900
Vilnius,Žirmūnai,Tuskulėnų g.,38.18,1,2,2022,Brick,"Electric, aerothermal",Partial,87814
Vilnius,Žirmūnai,Tuskulėnų g.,31.5,2,2,2022,Brick,"Electric, aerothermal",Partial,87350
Vilnius,Žvėrynas,Paribio g.,64.2,3,3,1970,Brick,Central,Fully,205000
Vilnius,Žvėrynas,Paribio g.,41.5,2,3,2015,Brick,Gas,Fully,129477
Vilnius,Žvėrynas,Saltoniškių g.,205.69,4,10,2008,Brick,Central thermostat,Fully,700000
Vilnius,Šnipiškės,Kernavės g.,35.7,2,2,2021,Brick,Central thermostat,Fully,189000
Vilnius,Pašilaičiai,Laisvės pr.,72.0,2,3,1997,Brick,Other,Fully,149900
Kauno r. sav.,Jonučių II k.,Versmės g.,47.76,2,4,2022,Brick,Gas,Partial,78804
Vilnius,Senamiestis,Šaltinių g.,75.57,3,5,2016,Brick,Central thermostat,Fully,399000
Klaipėdos r. sav.,Gargždų m.,Vingio g.,77.0,3,2,1984,Brick,"Aerothermal, gas, solid fuel, other",Fully,57000
Kauno r. sav.,Jonučių II k.,Versmės g.,71.62,3,2,2017,Brick,"Aerothermal, gas",Fully,155000
Vilnius,Pašilaičiai,Girulių g.,62.74,3,8,2008,Brick,Central thermostat,Fully,154000
Vilnius,Antakalnis,Kalno g.,50.0,2,1,2017,Block house,Central thermostat,Fully,158500
Vilnius,Antakalnis,Kalno g.,40.0,2,0,2022,Brick,Aerothermal,Partial,104000
Vilnius,Antakalnis,Kalno g.,55.43,3,1,2023,Brick,"Electric, central thermostat, aerothermal",Partial,149000
Vilnius,Bajorai,Šaulio g.,50.08,3,2,1958,Brick,Gas,Fully,115000
Vilnius,Naujamiestis,S. Konarskio g.,71.35,3,4,1987,Block house,Central,Fully,189000
Klaipėda,Centras,H. Manto g.,95.14,3,4,1928,Brick,Gas,Fully,265000
Vilnius,Fabijoniškės,Salomėjos Nėries g.,50.23,2,3,1990,Block house,Central,Fully,119000
Klaipėda,Laukininkai,Laukininkų g.,55.49,2,2,1983,Block house,Central,Fully,59900
Klaipėda,Laukininkai,Laukininkų g.,48.0,2,3,2009,Monolithic,Central thermostat,Fully,152998
Klaipėda,Senamiestis,Grįžgatvio g.,78.59,4,2,1960,Brick,Central thermostat,Fully,175000
Vilnius,Pilaitė,Tolminkiemio g.,73.41,3,4,2019,Brick,Central thermostat,Fully,215000
Klaipėda,Alksnynė,Alksnynės g.,51.79,2,4,1978,Brick,Central,Fully,68000
Klaipėda,Šauliai,Arimų g.,26.71,1,2,2023,Brick,Gas,Partial,52000
Vilnius,Naujamiestis,Kauno g.,67.0,3,1,1940,Wooden house,Gas,Fully,149000
Vilnius,Naujamiestis,Kauno g.,22.77,1,1,2020,Brick,Electric,Fully,128000
Vilnius,Naujamiestis,Kauno g.,31.84,2,1,2022,Brick,Electric,Other,119900
Vilnius,Naujamiestis,Kauno g.,32.05,2,1,2022,Brick,Electric,Fully,105000
Kaunas,Šilainiai,V. Bičiūno g.,70.0,3,2,2022,Brick,Aerothermal,Fully,140000
Kaunas,Šilainiai,Žaibo g.,74.0,3,5,2022,Monolithic,Central thermostat,Partial,122000
Vilnius,Naujamiestis,Algirdo g.,66.82,3,1,2021,Brick,Central thermostat,Partial,181755
Vilnius,Justiniškės,Rygos g.,50.1,2,6,1988,Monolithic,Central,Fully,107000
Vilnius,Pašilaičiai,Laisvės pr.,108.25,4,5,1998,Brick,Other,Fully,172000
Vilnius,Pašilaičiai,Laisvės pr.,75.0,3,3,2008,Brick,Gas,Fully,185000
Palanga,Šventoji,Jūros g.,68.0,2,2,2006,Brick,Electric,Fully,179000
Klaipėda,Giruliai,Turistų g.,38.0,2,2,2016,Brick,"Electric, gas",Fully,86200
Klaipėda,Mažasis kaimelis,Senvagės g.,73.51,3,3,2023,Monolithic,Central,Partial,194900
Klaipėda,Sportininkai,Viršutinė g.,98.0,4,3,1980,Brick,Gas,Fully,160000
Palanga,Palanga,Vytauto g.,46.88,2,4,2007,Monolithic,"Central, central thermostat",Fully,135000
Plungės r. sav.,Noriškių k.,Saulėgrąžų g.,64.09,2,1,2022,Block house,Other,Partial,92930
Plungės r. sav.,Noriškių k.,Saulėgrąžų g.,21.0,2,2,2021,Brick,"Electric, aerothermal, other",Fully,29400
Kaunas,Petrašiūnai,Nemajūnų g.,100.0,3,1,2017,Brick,"Electric, aerothermal",Fully,189000
Palanga,Šventoji,Gulbių g.,90.0,4,1,2008,Block house,Gas,Fully,245000
